data,#cores,run,demeter_log_runtime,demeter_log_cputime,mprof_runtime,mprof_max_mem,mprof_mean_mem
pacificus,24,3,2986.396,17214198,2997.0466001033783,11111.886719,3381.979033969597
pacificus,24,4,2923.414,17047251,2934.549299955368,11076.527344,3301.3221861727225
pacificus,24,5,2807.02,17278305,2817.8315999507904,10903.300781,3431.674997794615
pacificus,24,6,2799.663,17126405,2811.304899930954,10954.757812,3413.748767644186
pacificus,24,7,2702.587,17184069,2713.532399892807,11038.808594,3638.410980759936
pacificus,24,8,2989.104,17235967,3000.352299928665,11278.253906,3334.7693158716033
pacificus,24,9,2970.169,16995693,2981.4769999980927,10902.390625,3318.878231389985
pf1,1,0,20026.246,18247876,20037.32170009613,557.0625,436.3655455704666
pf1,1,1,20608.562,18813753,20636.28469991684,576.8007809999999,437.4137053934448
pf1,1,2,20014.868,18245434,20031.63960003853,558.5390620000001,447.5792213407081
pf1,1,3,19955.02,18190055,19972.35940003395,568.3320309999999,440.37516535290575
pf1,1,4,20563.721,18766509,20591.535799980164,559.9492190000001,442.0744435181165
pf1,1,5,20422.515,18621068,20451.01290011406,572.4570309999999,444.9586387362331
pf1,1,6,20459.211,18664138,20487.727099895477,579.6679690000001,443.6629966285272
pf1,1,7,19934.09,18131955,19962.151700019836,565.6445309999999,441.91388077315304
pf1,1,8,20332.044,18543525,20360.10039997101,560.5507809999999,439.43688373366473
pf1,1,9,20283.52,18509076,20312.199800014496,572.1328120000001,446.8032895625334
pf1,2,0,10362.1,18280926,10374.987900018692,1089.3007810000001,855.4377499741175
pf1,2,1,10571.83,18614578,10588.644000053406,1010.773438,834.2233117575171
pf1,2,2,10516.692,18505848,10533.316200017929,1088.671875,845.8403397858245
pf1,2,3,10580.976,18751374,10599.936200141907,1094.5390619999998,878.1702777100312
pf1,2,4,10340.032,18217845,10356.531200170517,1104.0117189999999,849.2630947654212
pf1,2,5,10614.223,18735911,10631.95590019226,1084.9101560000001,855.6714204620058
pf1,2,6,10615.769,18736702,10633.203999996185,1081.234375,864.5394100286142
pf1,2,7,10585.668,18596085,10603.976999998093,1070.578125,847.4098582790054
pf1,2,8,10826.375,18596033,10844.006500005722,1087.4296880000002,837.0495983924785
pf1,2,9,10689.367,18660026,10707.368099927902,1088.765625,853.5802162880742
pf1,4,0,5661.011,18340130,5672.75400018692,2106.042969,1606.068440763705
pf1,4,1,5830.585,18906599,5844.085900068283,2112.7265620000003,1622.6489803264724
pf1,4,2,5600.771,18412463,5613.1444001197815,2285.546875,1617.0480586758658
pf1,4,3,5920.688,18871198,5933.4158000946045,2105.6796879999997,1587.583890384671
pf1,4,4,5993.068,18435331,6008.852300167084,2035.589844,1511.0013459169534
pf1,4,5,5737.241,18366535,5752.9679000377655,2069.722656,1562.063555405333
pf1,4,6,5467.815,17956121,5482.931499958038,2004.796875,1598.8270915970184
pf1,4,7,5584.936,17753222,5599.82959985733,2186.5625,1573.4048741093427
pf1,4,8,5769.609,18400571,5782.226300001144,2033.566406,1583.2121524753156
pf1,4,9,5923.558,18547797,5935.252099990845,2099.691406,1563.1186500535812
pf1,8,0,3215.643,18279023,3226.7697999477386,4017.0429689999996,2866.3643726684636
pf1,8,1,3526.847,18514351,3537.9042999744415,4032.7148439999996,2670.1289916220826
pf1,8,2,3379.857,18523599,3391.0311000347137,3961.0898439999996,2743.8111955015384
pf1,8,3,3664.546,18919626,3675.748699903488,4025.1835939999996,2630.985184256032
pf1,8,4,3770.951,19133523,3781.584000110626,4112.234375,2603.343275716347
pf1,8,5,3241.031,18750150,3251.918300151825,4007.773438,2910.3582277195537
pf1,8,6,3630.305,19234323,3640.6304001808167,3820.7070310000004,2583.5300266198965
pf1,8,7,3467.966,18659700,3478.9321999549866,3870.3710939999996,2673.342717471746
pf1,8,8,3419.567,18422440,3430.1085000038147,4082.8867189999996,2746.2903627044843
pf1,8,9,3519.294,18948630,3530.4160001277924,4013.320312,2692.0565303076582
pf1,16,0,2290.683,17951387,2301.852299928665,7892.207031,4211.241679693923
pf1,16,1,2455.107,17985957,2466.0592000484467,7872.359375,3940.3610587050566
pf1,16,2,2439.64,17599774,2450.436299800873,7727.253906,3913.181833629436
pf1,16,3,2657.777,18285710,2668.81920003891,7801.046875,3763.3190408232376
pf1,16,4,2652.747,18288791,2663.244299888611,7462.121094,3659.373745625719
pf1,16,5,2377.187,18148233,2388.560800075531,7938.777344,4175.319005262742
pf1,16,6,2322.317,17872694,2333.3710000514984,7907.097656,4193.740765402921
pf1,16,7,2547.108,18191251,2558.547999858856,7626.90625,3776.0864727556227
pf1,16,8,2330.172,18461440,2340.844300031662,7814.449219,4230.464026287039
pf1,16,9,2782.535,17744937,2793.463700056076,7533.113281,3472.18903770359
pf1,24,0,2060.878,17343873,2072.3001000881195,11072.527344,4628.150718231157
pf1,24,1,2161.765,17456858,2172.8591001033783,11535.570312,4773.5443319484475
pf1,24,2,2346.658,17391321,2358.1408998966217,11172.324219,4374.633226011107
pf1,24,3,2074.486,17039164,2085.275099992752,11138.847656,4749.025183873171
pf1,24,4,2145.484,17627283,2155.951600074768,11496.085938,4769.322814977822
pf1,24,5,1884.225,17296722,1895.7869000434875,11222.121094,5253.15912507534
pf1,24,6,2297.289,17918348,2308.116600036621,11063.820312,4489.708417960765
pf1,24,7,2358.345,17253101,2369.7190001010895,11393.324219,4367.633967176141
pf1,24,8,2060.138,17209800,2071.070699930191,11137.855469,4915.2978745965665
pf1,24,9,2379.932,17315293,2390.7990000247955,10822.578125,4133.989957177639
pf2,1,0,19986.792,18149940,20017.068099975586,566.0039059999999,436.6354967004295
pf2,1,1,19849.272,18029329,19879.977300167084,566.6132809999999,442.77694331204054
pf2,1,2,20339.068,18567095,20369.872600078583,593.7851559999999,450.2838831779571
pf2,1,3,20309.372,18553229,20339.60840010643,594.9101559999999,452.67337788434725
pf2,1,4,20566.984,18816454,20597.205699920654,598.6914059999999,460.58352833796886
