,data,size,fold,cores,duration,cpu,noncpu,avemem,maxmem
2,pacificus,176725568,1,4,2408,8582.0,3458.0,9592.19 MB,25528 MB
8,pacificus,176725568,2,4,3044,10933.0,4287.0,10248.37 MB,25431 MB
14,pacificus,176725568,3,4,2825,10050.0,4075.0,10504.32 MB,25401 MB
20,pacificus,176725568,4,4,2829,10070.0,4075.0,10217.97 MB,24702 MB
26,pacificus,176725568,5,4,2839,10094.0,4101.0,10303.13 MB,25281 MB
32,pacificus,176725568,6,4,2890,10273.0,4177.0,10337.59 MB,25271 MB
38,pacificus,176725568,7,4,2840,10078.0,4122.0,10416.94 MB,24421 MB
44,pacificus,176725568,8,4,2896,10375.0,4105.0,11173.84 MB,25420 MB
50,pacificus,176725568,9,4,2840,10094.0,4106.0,10486.81 MB,24387 MB
56,pacificus,176725568,10,4,5975,21874.0,8001.0,11437.29 MB,26140 MB
3,pacificus,176725568,1,8,1336,8466.0,3558.0,17202.38 MB,49853 MB
9,pacificus,176725568,2,8,1648,10270.0,4562.0,18669.38 MB,48770 MB
15,pacificus,176725568,3,8,1629,10061.0,4600.0,19366.17 MB,50569 MB
21,pacificus,176725568,4,8,1647,10327.0,4496.0,17180.83 MB,48734 MB
27,pacificus,176725568,5,8,1625,10039.0,4586.0,17072.58 MB,47686 MB
33,pacificus,176725568,6,8,1698,10620.0,4662.0,17965.83 MB,48710 MB
39,pacificus,176725568,7,8,1639,10199.0,4552.0,19263.95 MB,49610 MB
45,pacificus,176725568,8,8,1637,10055.0,4678.0,18854.95 MB,48061 MB
51,pacificus,176725568,9,8,1663,10332.0,4635.0,16641.66 MB,48617 MB
57,pacificus,176725568,10,8,1610,10202.0,4288.0,18212.65 MB,41458 MB
4,pacificus,176725568,1,16,1036,10331.0,7281.0,28107.89 MB,91482 MB
10,pacificus,176725568,2,16,1008,10039.0,7097.0,26504.31 MB,93181 MB
16,pacificus,176725568,3,16,2290,23338.0,15592.0,32307.68 MB,103498 MB
22,pacificus,176725568,4,16,1020,10233.0,7107.0,30125.45 MB,93522 MB
28,pacificus,176725568,5,16,855,8447.43,6087.57,22593.04 MB,100057 MB
34,pacificus,176725568,6,16,848,8432.0,5984.0,25193.00 MB,100205 MB
40,pacificus,176725568,7,16,1033,10287.0,7274.0,29259.80 MB,95548 MB
46,pacificus,176725568,8,16,866,8368.0,6354.0,25934.62 MB,101132 MB
52,pacificus,176725568,9,16,852,8694.33,5789.67,23325.95 MB,99573 MB
58,pacificus,176725568,10,16,865,8477.0,6228.0,27038.73 MB,99077 MB
0,pacificus,176725568,1,24,485,8160.14,3964.86,48489.51 MB,119019 MB
1,pacificus,176725568,3,24,1470,25446.0,11304.0,54516.92 MB,124955 MB
2,pacificus,176725568,4,24,651,11144.8,5130.200000000002,48068.50 MB,109318 MB
3,pacificus,176725568,7,24,512,8333.0,4467.0,40656.54 MB,121131 MB
0,pf1,7679116,1,1,3589,2713.0,4465.0,209.06 MB,688 MB
7,pf1,7679116,2,1,3636,2746.0,4526.0,304.82 MB,775 MB
14,pf1,7679116,3,1,4194,3555.0,4833.0,267.30 MB,569 MB
21,pf1,7679116,4,1,4628,3408.0,5848.0,349.04 MB,825 MB
28,pf1,7679116,5,1,4437,2728.0,6146.0,370.52 MB,854 MB
35,pf1,7679116,6,1,4373,2725.0,6021.0,275.68 MB,712 MB
42,pf1,7679116,7,1,3637,2717.37,4556.63,289.86 MB,775 MB
49,pf1,7679116,8,1,5466,3429.0,7503.0,261.87 MB,729 MB
56,pf1,7679116,9,1,4881,3369.0,6393.0,445.61 MB,861 MB
63,pf1,7679116,10,1,5163,3447.0,6879.0,450.77 MB,860 MB
1,pf1,7679116,1,2,1556,2693.0,1975.0,620.77 MB,1170 MB
8,pf1,7679116,2,2,1566,2706.0,1992.0,546.42 MB,1051 MB
15,pf1,7679116,3,2,2992,3359.0,5617.0,671.41 MB,1663 MB
22,pf1,7679116,4,2,2908,3331.0,5393.0,464.05 MB,1006 MB
29,pf1,7679116,5,2,3695,3530.0,7555.0,558.66 MB,1291 MB
36,pf1,7679116,6,2,3060,3382.0,5798.0,577.26 MB,1570 MB
43,pf1,7679116,7,2,2916,3354.0,5394.0,718.32 MB,1682 MB
50,pf1,7679116,8,2,963,19.22,2869.78,211.85 MB,271 MB
57,pf1,7679116,9,2,2417,2716.0,4535.0,457.26 MB,1018 MB
64,pf1,7679116,10,2,3412,3391.0,6845.0,495.78 MB,1543 MB
2,pf1,7679116,1,4,1001,2683.0,2322.0,936.36 MB,2575 MB
9,pf1,7679116,2,4,1005,2684.0,2341.0,1032.20 MB,2902 MB
16,pf1,7679116,3,4,1954,3308.0,6462.0,854.25 MB,3108 MB
23,pf1,7679116,4,4,1057,2691.0,2594.0,1020.72 MB,2727 MB
30,pf1,7679116,5,4,1939,3451.0,6244.0,774.48 MB,3032 MB
37,pf1,7679116,6,4,2071,3426.0,6929.0,975.12 MB,3059 MB
44,pf1,7679116,7,4,864,2684.0,1636.0,1064.71 MB,2134 MB
51,pf1,7679116,8,4,1329,2709.0,3936.0,815.31 MB,2920 MB
58,pf1,7679116,9,4,1311,2729.0,3826.0,746.12 MB,2474 MB
65,pf1,7679116,10,4,1169,2703.0,3142.0,673.98 MB,2078 MB
3,pf1,7679116,1,8,553,2695.15,2281.85,1742.79 MB,4237 MB
10,pf1,7679116,2,8,702,2715.0,3603.0,1357.99 MB,5015 MB
17,pf1,7679116,3,8,661,2755.0,3194.0,1706.35 MB,4963 MB
24,pf1,7679116,4,8,626,2685.0,2949.0,1404.60 MB,4505 MB
31,pf1,7679116,5,8,505,2755.2,1789.8,2023.93 MB,4465 MB
38,pf1,7679116,6,8,1417,3370.0,9383.0,1064.25 MB,5824 MB
45,pf1,7679116,7,8,1325,3328.0,8597.0,991.00 MB,5774 MB
52,pf1,7679116,8,8,529,2689.0,2072.0,1817.58 MB,4426 MB
59,pf1,7679116,9,8,1019,3323.0,5848.0,1551.70 MB,5853 MB
66,pf1,7679116,10,8,905,2785.0,5360.0,1377.19 MB,4958 MB
4,pf1,7679116,1,16,277,2667.0,2042.0,3807.21 MB,9119 MB
11,pf1,7679116,2,16,599,3364.0,6819.0,2664.95 MB,11572 MB
18,pf1,7679116,3,16,1236,3443.0,17569.0,1179.16 MB,10169 MB
25,pf1,7679116,4,16,332,2682.0,2962.0,2487.65 MB,8717 MB
32,pf1,7679116,5,16,1063,3305.0,14766.0,1238.35 MB,10231 MB
39,pf1,7679116,6,16,342,2692.0,3122.0,2363.37 MB,8862 MB
46,pf1,7679116,7,16,300,3222.0,1878.0,3441.26 MB,9026 MB
53,pf1,7679116,8,16,320,2803.0,2637.0,2154.16 MB,8593 MB
60,pf1,7679116,9,16,1191,3435.0,16812.0,1525.88 MB,10352 MB
67,pf1,7679116,10,16,1004,8205.0,8863.0,1603.46 MB,11080 MB
0,pf1,7679116,1,24,452,8249.0,3051.0,6025.52 MB,16264 MB
1,pf1,7679116,2,24,442,7871.12,3178.88,6341.20 MB,14856 MB
2,pf1,7679116,3,24,467,7916.0,3759.0,6040.24 MB,15703 MB
3,pf1,7679116,4,24,461,7970.0,3555.0,5714.24 MB,16138 MB
4,pf1,7679116,5,24,442,8222.0,2828.0,6118.57 MB,15776 MB
5,pf1,7679116,6,24,212,3473.31,1826.69,5676.78 MB,9638 MB
6,pf1,7679116,7,24,212,3471.0,1829.0,6412.99 MB,9320 MB
7,pf1,7679116,8,24,465,7702.0,3923.0,6161.89 MB,16353 MB
8,pf1,7679116,9,24,441,7771.0,3254.0,6602.66 MB,15445 MB
9,pf1,7679116,10,24,457,8116.0,3309.0,5911.46 MB,15873 MB
0,pf2,7679116,1,1,3418,2528.0,4308.0,323.34 MB,839 MB
7,pf2,7679116,2,1,4174,2817.0,5531.0,354.53 MB,916 MB
14,pf2,7679116,3,1,3833,2541.0,5125.0,365.37 MB,849 MB
21,pf2,7679116,4,1,3291,2538.0,4044.0,331.57 MB,827 MB
28,pf2,7679116,5,1,3495,2707.0,4283.0,399.52 MB,924 MB
35,pf2,7679116,6,1,3358,2519.0,4197.0,424.49 MB,842 MB
42,pf2,7679116,7,1,2794,2064.0,3524.0,324.22 MB,783 MB
49,pf2,7679116,8,1,1932,2012.36,1851.64,346.37 MB,800 MB
56,pf2,7679116,9,1,2748,2019.0,3477.0,270.77 MB,743 MB
63,pf2,7679116,10,1,6222,5817.0,6627.0,494.79 MB,942 MB
1,pf2,7679116,1,2,2732,2505.0,5691.0,588.00 MB,1606 MB
8,pf2,7679116,2,2,2761,3122.0,5161.0,455.16 MB,1264 MB
15,pf2,7679116,3,2,2080,2122.0,4118.0,492.46 MB,1457 MB
22,pf2,7679116,4,2,2835,2478.0,6027.0,372.08 MB,1535 MB
29,pf2,7679116,5,2,2151,2828.0,3625.0,598.46 MB,1580 MB
36,pf2,7679116,6,2,1940,2463.0,3357.0,570.48 MB,1573 MB
43,pf2,7679116,7,2,1624,2118.0,2754.0,428.41 MB,1399 MB
50,pf2,7679116,8,2,1394,2022.0,2160.0,569.55 MB,1247 MB
57,pf2,7679116,9,2,1368,2018.0,2086.0,586.25 MB,1229 MB
64,pf2,7679116,10,2,3432,5479.0,4817.0,1041.06 MB,1929 MB
2,pf2,7679116,1,4,1485,2669.0,4756.0,444.70 MB,2100 MB
9,pf2,7679116,2,4,1784,2564.0,6356.0,747.34 MB,3036 MB
16,pf2,7679116,3,4,1941,2681.0,7024.0,538.09 MB,2961 MB
23,pf2,7679116,4,4,1384,3512.0,3408.0,799.75 MB,3033 MB
